Estación:       CUMBRE DE MTY I,  NL
Operada por:    SMN EMAS
Longitud:       100°23'23"  Longitud: 25°33'35"  Altitud: 1455

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
30/01/2018 10:00         173         233        2.17        9.40         0.1          94       942.3         0.0         0.0        -1.5          84           6        13.2
30/01/2018 11:00         174         126        2.10        5.00        -0.6          95       942.3         0.0         0.0        -2.2          86           6        12.8
30/01/2018 12:00         139         114        2.58        6.50        -1.0          96       942.8         0.0         0.0        -2.4          88           6        12.5
30/01/2018 13:00         183         123        2.22        5.40        -1.1          98       943.2         0.0         6.2        -2.3          90           5        12.0
30/01/2018 14:00         161         111        2.21        5.40         2.0          99       943.7         0.0       111.2         2.0          93           6        11.7
30/01/2018 15:00          98         222        1.49       11.50         8.2          63       943.5         0.0       287.3         8.8          86           6        11.5
30/01/2018 16:00          24          36        5.64       19.40        14.6          33       943.0         0.0       485.8        14.6          67           5        11.3
30/01/2018 17:00          32          44       10.16       21.20        14.5          32       942.5         0.0       231.5        15.0          51           6        11.4
30/01/2018 18:00          24          21       14.97       34.60        16.9          27       941.1         0.0       767.2        24.3          38           5        11.6
30/01/2018 19:00         306         333        6.79       32.00        19.0          25       939.5         0.0       845.2        30.1          24           5        12.0
30/01/2018 20:00         244         201        8.19       24.80        20.4          22       938.0         0.0       624.7        30.6          16           6        12.5
30/01/2018 21:00         258         254        7.08       22.30        20.3          21       937.1         0.0       488.3        28.0          16           5        13.0
30/01/2018 22:00         251         272        9.35       22.00        20.5          21       936.6         0.0       303.0        26.3          14           6        13.6
30/01/2018 23:00         244         242        5.04       18.70        17.7          26       936.6         0.0        46.2        17.4          18           6        14.2
31/01/2018 00:00         277         194        0.74       13.30        14.9          33       936.7         0.0         3.7        12.9          25           6        14.5
31/01/2018 01:00         236         271        4.37       11.20        12.1          40       937.1         0.0         0.0         9.6          33           6        14.7
31/01/2018 02:00         230         158        2.24        8.30        10.0          47       937.5         0.0         0.0         7.7          39           6        14.7
31/01/2018 03:00         264         234        2.46        6.50         7.7          56       937.8         0.0         0.0         5.7          46           6        14.6
31/01/2018 04:00         261         258        3.30        9.00         6.9          60       937.7         0.0         0.0         5.1          52           6        14.3
31/01/2018 05:00         181          98        1.61        6.80         5.6          65       937.4         0.0         0.0         4.2          56           6        14.0
